1 1
4 251261367 -36235612
0 -294321853 718794556
9 -638655869 -363694180
3 875954116 -295340417
4 194703611 766670508
7 -209394466 -778587372
1 35 39
1 777202142 -185697781
1 305686751 -395481675
3 -500721890 960521384
9 60523340 -609788285
0 137339857 -545269674
8 -749656866 -548219209
2 346893466 -885483862
4 -487023779 -802028086
0 37 1
2 -910615818 160099260
4 403912795 805258248
5 593613069 863349751
3 -81372634 986567593
1 9 9
6 174648923 641022132
8 368644822 310875257
3 567863027 154830483
2 167148410 -441849337
1 -284249001 809396616
0 891928045 88786378
6 411946453 190759266
0 125659813 155395577
2 712658317 -924110628
0 35 2
5 992388436 355393219
8 669124492 34269529
1 38 2
4 -205813800 375237357
0 581968895 426452902
4 817528380 -988835393
3 842939500 -735984424
6 -783811087 942117596
7 783904379 -473271238
7 -585945296 457679970
3 -415489137 -801193095
8 -616482407 56059953
2 -878208406 707847934
0 41 35
5 -752140165 402710869
2 -623054444 903117824
1 -305361167 742743070
9 -570431992 58403245
9 -45141521 -746233951
2 -650930745 242843264
6 -334429403 703281134
5 -45865248 -835735787
4 -889354747 -936873335
9 -242117985 -570057654
8 -983610856 461339675
5 825437081 -89672508
1 -759151363 -463767452
2 -747493899 63210105
9 -352868626 634900028
1 -6222202 -407579180
3 715457962 191197598
7 -610377787 -972225595
8 5745792 348706475
1 0 5
7 644717196 -367391619
3 -807170355 -401521037
7 376238954 185628416
0 12 35
2 619380950 197214505
5 -897077758 -621788346
0 877212582 -433068365
0 17 1
0 189700347 358253635
5 46303309 -701578310
7 214700369 -278487264
9 -293094897 -917050817
0 19 14
1 -221873061 -857198707
5 -194548603 -492820734
8 634640627 297504212
5 -372855570 -761589903
8 174899160 394968214
0 674276110 617721177
5 431222735 -987457405
6 265864679 281124256
3 667711354 -425143037
3 -793107110 524199542
4 161386942 658830677
4 -460815700 68822870
8 397503344 55940262
3 462749979 271553744
0 29 21
8 -880753190 355691272
8 11649326 -161008827
1 -318765165 982511186
1 -823192966 186854515
2 -375380395 897173168
9 -494887521 -688361421
4 -186249467 -940542632
6 -126525545 578691070
0 25 22
6 -578866834 298490809
4 -637982058 -759059494
8 -684562873 153511390
0 27 30
6 729938427 -719378534
8 54052403 -68837947
2 336083140 371467324
6 244719607 -333644583
7 -171904901 444295777
0 17 5
0 -961840256 140896188
4 -462103001 -699259599
7 -20373453 -655339291
0 25 0
0 370655989 -705046885
9 -511779318 -932703056
3 -202776360 -568096790
2 -192638913 -362292009
6 948219175 377327707
5 819742292 37993931
9 57781634 -222918690
8 448232249 650607084
5 13420007 651605275
6 238860454 -424073668
2 8115586 386356562
2 -336319277 148436393
7 -964154514 667035997
6 -184557995 718301963
7 525446676 -156974543
5 -683604699 453011385
9 395321814 55967317
3 -689936328 718817262
3 46561175 978261222
6 991272082 -409931300
0 14 1
6 -337690570 -388585478
9 384866494 -679818427
4 -247617384 786985829
0 7 21
5 548363138 -808639998
1 26391063 824111976
5 523258499 -351452044
8 -731300547 395502233
1 913172479 -881991384
2 -526283047 889389278
3 837817830 -127612022
7 -435062952 602967245
3 292387890 760499405
1 -348344153 668570855
2 3 35
0 17 13
0 -948212665 495649923
8 295925339 215605216
6 209983765 720516940
1 37 32
8 314115185 360016620
3 182533828 -979529304
0 33 20
8 910437590 -243124559
6 769987748 -260017211
2 763589008 -818832354
2 401508050 772677887
8 900847150 -17037400
3 -373807336 100905416
1 -325524210 -313036857
0 953464921 337344153
1 -52883454 -924582504
0 -598836363 -529227077
9 816146758 589056826
6 32748755 -89906541
9 547531854 843352846
2 -555764046 -251200322
1 -22380898 863782960
3 732192468 -205096081
2 530367516 -319372960
1 -860299054 -499282363
9 482187314 873322767
3 -383273803 435071400
3 -701206770 122675154
5 -632593339 -447251124
2 44036 -893496288
2 -263252461 -72958634
4 254896936 811561671
9 103103090 -150748190
5 -681329348 275240373
6 455658649 24741238
5 -42256083 -124194097
0 774077302 218273461
2 333966903 -271686911
7 -388408054 704582793
6 -286690144 274326108
0 335712250 -314765524
3 -793406378 485542178
7 334139700 476247144
7 651892160 -863434945
0 873256287 -670936977
6 -314376765 -691368011
1 704545398 -110929797
2 -586447727 -187225670
3 -676773391 347743959
2 -502880865 -240230614
1 -585044477 65820066
1 42 11
3 902008254 -41798404
1 -211162320 -427942217
3 39857837 243678403
1 512449437 -821563494
5 979589228 -761859891
6 -596796349 463580245
5 296586466 -976201073
3 -488849915 -253368520
3 -9910842 -429217351
4 429928714 885706516
6 517676727 -440105682
1 469594181 505314529
1 945702672 27639595
9 -915700997 -8870147
8 -341165762 -379860686
2 -350380373 946021903
0 15 19
7 275729108 687934464
9 25741425 201265910
2 170835404 -819421320
4 -805921812 -769168210
0 399209950 -879549835
6 -319541799 -69033623
3 33899734 634909294
3 889118345 955174045
0 -295749464 -996823676
1 -535603741 -512727909
3 -939273073 -487444082
3 -64130276 786524840
9 275736650 -447873105
0 -304977087 -550597575
4 655329002 -146564292
0 -687419164 -946538308
5 -195601113 148338755
5 -454500382 242528733
1 -912725035 692408550
5 -95668726 -150582365
1 12189787 320516409
0 36 31
3 216475950 134363943
7 91939090 -669402351
1 -799602305 600753278
1 -264552122 742331770
6 -434524195 -920878919
1 677049093 -138522784
6 483518595 -80957998
6 -643237722 -919535430
8 255912320 327726447
3 957307225 -633550928
8 819857916 -346820980
1 316746125 883958372
3 -728802244 767869328
2 -424525446 -479631797
4 345872442 -78591471
9 48825200 -769449182
6 -4061155 197468565
8 -952202402 -108946666
0 -843226530 964028910
3 -150416206 -574006976
9 569436215 420690854
3 -832584605 -789911378
3 -450097300 829667217
8 -889710178 -63167740
6 -449127818 -154169314
7 -524406780 -736761430
6 -65952066 155683646
5 51261418 587187368
8 -329396788 -475395230
0 -199080420 -23665663
1 481362493 -998514381
8 -968712022 -435256449
8 315415685 -906154836
0 669100296 562006187
1 -74607013 -52037590
1 -206365513 144057853
4 615177521 -964190882
4 342928433 -589114380
9 -815060312 358311450
3 767833030 260225772
4 758479976 -134179557
4 -669958144 -961576167
3 -628816926 266691533
3 945216451 522576992
5 223743545 -310705492
0 -428843884 -142074298
5 850804530 -545207240
3 83886130 -328718041
6 839441036 389249078
6 -303576273 -784767725
2 -777397710 313437892
0 314927689 520812387
5 -608692171 238860834
6 -571468226 703243791
5 977238842 511601491
1 76647371 941025380
9 710592955 -729670596
1 596060974 -58970537
1 706586658 296681146
1 28461451 -695754816
0 6 34
0 -411532471 840500242
6 58510365 257448304
1 60004801 156397421
2 289344074 -19920013
1 671395015 961751811
4 831713482 757108956
7 9291432 -771250585
4 719429293 -555532911
5 987155084 -730883875
0 -105315249 -512466983
3 257537632 -115193009
2 -971112230 -207999788
1 29 37
5 -999109918 154208630
6 826057542 526676415
0 12 28
3 61069429 786664850
8 -300296001 182592655
3 933259446 53357787
9 -858936435 -930332051
9 115060693 363915495
6 -165965072 118671229
9 857751523 386827629
2 118455874 379710856
0 34 30
1 327847117 -932919252
8 -213554634 -869122552
9 766237055 -387701755
4 765575319 -759768168
0 -910287471 757615329
1 562089946 441015156
2 393216383 -683071347
2 492166630 -247150356
1 429916377 574075673
0 800366301 -735784826
9 -6535928 -261117006
2 327576183 507456588
6 -776910166 -493278867
1 13934487 -337362642
4 993448200 980381916
7 339588594 862646741
5 126901363 104114584
2 -798617045 622449013
9 279485847 -351259533
3 0 41
0 17 15
4 382665159 656755493
8 -840810518 -947239560
0 -365949489 -449822943
7 -839148820 607450190
5 -563140190 -948068828
1 -691643941 940311359
1 948802681 -598703411
3 30800544 -291324715
5 924388665 476741629
0 -826927509 -622571132
2 -65653639 399601739
2 234128614 143246066
0 26 5
5 274059364 532564319
2 -37426317 -911263092
3 340312343 708525417
7 -643199461 466869896
2 -578124930 -402860101
1 734209365 -198865714
5 385011622 363090295
3 -987594610 -630748568
5 -335157710 697121390
5 988339249 -850932402
6 969329450 51839715
2 877976822 200306699
8 769659663 613348967
3 405543522 -370368172
9 54660408 -605075239
7 -225478184 -463801604
4 -279467094 -630779117
3 563695709 504335065
5 -657581691 -313355129
2 917093391 252943170
9 -963639067 -597471342
6 555536803 730985266
0 -285234087 526772678
7 214331900 -530528797
9 170083668 -814586738
6 -30399259 -889172483
4 -663389471 -938041582
9 290600271 140009963
7 -684571765 915887997
0 33 3
7 -770836739 686498044
1 41 20
2 178983155 258351010
9 -487510674 -503146300
9 -476878478 914505832
0 648117243 713525720
2 -402389615 912743940
9 387119832 805933839
3 -289973326 521152986
6 -988579346 -160721799
4 7075710 -772132917
3 -577925864 -324456657
8 -510448276 679710339
9 482211174 -138216161
7 849122711 682878565
1 -137808891 642933241
3 703378548 512519237
2 -958728507 -688540039
6 -317114782 812254245
7 -452455940 -465880721
4 731526500 -704931835
3 -21720249 -457546455
5 811382532 634559618
4 841739745 -471824802
7 426535701 -268976082
8 -27873970 113092333
0 384753981 -996371371
9 306483472 -868737188
1 -609624848 628677699
1 586916549 941966821
6 -863594878 -458954320
3 -701283607 704999931
6 246202896 -340981103
6 113273495 -10401483
0 866044609 554641200
3 -155067260 -685124720
2 511401916 636894768
8 931815770 862785675
1 812174945 -845520558
9 -127187118 733368981
2 -991937357 996635490
0 29 13
4 -430276588 -872272157
8 912527639 -301432494
1 -504549398 -658933411
4 711560986 593956480
2 471233316 -100206799
3 -305321041 625588469
1 958879208 233443104
1 592772896 503883145
4 994444369 460339158
4 552319622 675879565
0 -382448208 106024987
4 -834363990 -478131020
2 893799467 585960024
6 -974030394 81683730
2 636905033 987877774
1 -614021047 -23240512
9 2293934 320356549
2 717215072 -245974561
9 -717776206 -5930099
6 417538469 186209178
1 -491118498 295864763
1 -904355041 -911606106
8 -363606328 -349974375
0 7 38
6 -301697306 -65499647
4 96900681 107798404
8 126465510 811617768
0 -939441226 -402199394
8 2545051 123980151
8 -113651733 -4807116
8 -577493148 711279079
0 888190796 -771969463
9 -581641078 771438897
8 -707176633 -781361340
8 108984957 -382121496
1 751012522 357738165
4 -414345483 711010782
4 257769953 161027695
9 457713005 -887757431
4 -551663151 243712381
6 -888648708 127775784
0 994817754 358661332
0 -697139208 -218919383
2 -993945826 731206865
3 -834795984 -967577412
9 716061063 688447241
0 35 4
7 -62674948 241563553
0 33878674 -434440059
4 390698048 -429087333
8 -445183543 -900626158
9 -455061929 -725865819
6 497607121 577595060
6 -903817046 -553755734
4 -630732778 96303527
4 859817996 -655802654
6 -488811707 719759801
7 -877574554 703731759
8 886145898 -371232053
9 -890217826 571887689
5 558986411 -303301837
8 -499641975 -963616455
4 76186013 -306224887
7 -101655799 -37926772
4 651818950 973119942
6 -430305416 -20759438
9 -621705359 -29086699
9 261011459 -924447873
4 -831940449 993115823
4 241771396 526357304
4 770169385 481815489
5 507671678 110378415
7 -475957291 956144237
9 -263625949 589754214
7 949104273 -137052361
0 29 2
7 -147519134 605198586
6 675742588 -875020001
1 -923583880 990888392
2 341436439 605670676
2 -726083906 465753572
4 -549019900 -387653637
0 628609390 535964148
4 653417894 646150016
4 431527683 335884542
6 426003535 207246490
1 863618727 -67796076
3 112782344 -908895938
6 28301284 99464733
7 962060153 -433596210
1 98788533 -669862298
9 111678182 561400090
2 708685306 -276468985
4 117104768 632185660
2 318990056 506764846
4 -993199769 -176329566
3 -997584962 -416931993
1 -293116800 834423336
7 849408994 -648204039
5 947481315 -396823817
7 -492271057 -755426976
1 46218105 957036929
2 29939075 -715942505
8 121529066 -823424487
9 -231938658 -324073033
1 -331554105 953155188
5 -414215862 -465713181
1 -170369910 88238327
7 -122882000 560260374
5 496834966 -157896172
4 478045876 -858102708
7 -241678607 -633456136
2 729646074 -69564655
8 650850345 -126387225
7 756779370 511090396
5 510415739 -302464220
1 -798466928 -265250922
4 344561456 563986094
5 -324033704 -580886627
2 -926884724 -316428122
1 -995319171 582234181
2 -382229796 167835662
3 332319495 -634163966
2 -785388428 571373810
8 -463448566 720757426
9 -233110474 -775544241
9 -596011830 75309396
9 667221848 -619001724
8 -303139565 -250667251
1 947019634 8117108
9 821141067 318702409
1 187361009 809470935
8 -573020173 -90783338
6 637135344 -846831393
0 533819975 809309999
8 -941122097 -668018921
7 770712392 -420637752
0 -972656074 -754572820
7 -876559433 358594228
8 -287288660 843867066
0 -324757291 867105399
4 683734759 -726386667
3 -640054275 -283780801
8 34126377 838185426
0 -389058848 -753603565
1 913070010 392309672
8 -299214713 103364107
0 81692290 720925413
8 175128591 -668819212
4 453731658 -701563475
3 -432206635 578919491
5 -46217739 -517444301
2 -166577095 -496731817
0 -139647497 231954162
0 -332203364 -504219303
7 663248693 -742692118
1 -298684322 -176821336
6 -932591327 635122952
7 839814837 -372299084
6 724934334 310581115
9 626069281 -879587830
2 -506534613 439308699
2 -724886125 -148011784
7 -994795870 -769705309
1 275998644 -47683720
1 -174645248 258268170
2 -538088575 -603809933
7 -649062362 -40530851
8 -458283083 336262900
7 -204802470 712236740
4 887159282 179901229
2 34380247 24816602
3 971429755 -712718810
6 109790567 -698018213
0 888947522 278651800
2 391779102 -420340047
5 941145516 -760733053
6 67805400 -381359813
3 -195351208 110316446
1 32 37
0 41 1
7 480122525 618366557
6 -193785083 891486246
5 -118036174 -529168505
1 152125154 -401678585
1 -358546106 247633295
9 -770789999 -963113610
8 362685742 -747779512
4 991858006 -426473760
4 -159907616 -391820388
6 -727651614 -606714328
3 -230256270 188884996
0 -219663461 696932406
1 940703632 780910912
5 646076233 365316851
3 926359026 -852575409
7 -870494450 -924866385
6 856322088 -577334477
0 -195644422 496129839
9 -442364804 697042353
5 -400508997 -417059059
1 -327339479 -43428366
3 607282970 10861887
4 -622429054 -610100458
1 -181939657 848633632
8 310565061 379157946
8 8278618 -228573727
7 84944299 539290901
1 -823113522 614228842
2 -991554323 -522299450
3 798745274 -981610832
4 -501453277 649322287
0 510129102 13215697
0 -249062364 873324479
1 376856064 -401810651
5 218230071 589556530
1 686750059 -677419062
0 22 12
2 30939312 -911970016
0 377812104 -127856727
9 -694684119 215485306
1 698706414 -861748226
2 -275285193 975313690
9 487349060 992938531
2 684330544 302305029
8 -321974200 -556521615
6 488366862 473451151
6 501793738 -923521907
9 510539192 -228173519
7 709853220 714055641
8 -458051326 41813999
8 819605024 722121005
4 -615720136 27357324
9 651385787 -277900497
5 583512217 -517439340
5 428454210 -962951364
7 -838015083 188191528
1 226418013 -836762469
8 76726845 95384710
0 -442105702 -33433907
7 480141928 -436040154
2 798929348 957533061
9 -5918242 -317488217
3 596012296 -968308545
2 -499277118 68049236
3 619023297 -470886294
1 486377620 -403432187
9 222443446 -908792102
2 -633668572 -237418826
8 -371537319 -963434102
0 -364748604 -574151534
7 -818637113 -402269462
1 -222524717 406859101
0 -989316490 450310275
4 131567328 -440257085
9 375485876 -262633994
1 -881860108 371524634
6 153068480 209438996
7 -273343615 788736140
3 -199952981 341633238
4 388222409 -843450611
4 -772387578 -167001000
1 570079188 -40720708
5 866609385 -267380615
0 -328668903 929259759
0 -159312184 492000353
6 -551387749 -416939946
0 5545409 -790170761
9 112524819 547064608
3 859651587 249865708
0 -566524339 -404994353
2 405603187 594074214
1 -729771774 -151178634
4 -904829733 -779557465
8 879844576 536285427
5 390438903 86307093
3 964709377 -413278474
0 373825858 957872857
6 -506393755 876462762
0 16 24
5 786323208 959841090
7 -188976688 -808123101
2 -263953511 829341642
0 428795659 -645135539
5 -148591843 142501282
2 962240524 -753166150
3 -924458914 374760629
2 -203067241 753587445
0 -49308680 900724573
3 50011061 78197342
2 647354809 -879585317
2 121251215 -947794557
3 895317657 825678426
6 -858008275 396317377
9 14895348 -657316614
1 -225239004 131382780
0 732518199 392495423
7 369328401 -649619279
3 -333086084 252334201
9 -21735097 269121231
6 802919629 317591152
5 -335396427 417606427
9 -298076602 -567550365
1 -473844836 -310412427
8 -516551569 597132741
1 -508027359 514255951
4 229753182 -56455914
2 -742418874 -914738654
0 699325971 -848346266
8 -683827482 -142158461
3 204506546 -82783128
9 724879932 -822916117
3 15763227 25567035
0 19 22
6 151883010 762702662
7 186557448 142342836
1 -483286857 -982813987
7 808252550 -589412456
7 -285191654 237199980
4 174474539 -942240815
7 446400676 -486466472
1 -237625743 -814930643
3 -267180030 -235430852
6 -231844273 -148951590
0 233316136 379510997
1 -813644413 -802635502
4 -271146700 975252141
2 558692484 -96214321
6 459584058 -373292503
0 -82010384 678201762
6 219238036 605503581
9 -114487272 528917914
8 516526494 312743275
3 274842162 796816988
0 -500414390 264539639
8 921824726 -62838112
0 15 20
7 827371039 -252234980
2 720504366 340472759
7 920993368 297724998
0 919717572 -66856130
8 -100213703 800233032
1 -674903782 -745861168
6 -349862599 326306825
1 -566727405 -547514572
7 581080495 -947346526
2 890997141 -726814044
6 -934696745 -308492511
8 -967708270 -446186783
7 86478620 325121996
4 204723443 985383450
9 -184950719 863796750
0 602450044 -852314077
3 287179935 -211110483
9 -106636376 751242385
3 379993818 314812042
9 -316618734 451483494
2 895152504 -590875868
0 -25026588 -375620350
6 565313363 -232882023
6 966026218 -155187823
9 884423915 -427579811
6 739256698 -219176183
2 -20921803 102299957
8 182352523 978075455
0 301310495 350961208
1 -932351105 339447577
0 649096881 -126991266
3 -535853433 18672890
8 -93350091 1244916
5 -372668324 166793291
1 503992724 396527290
5 -85958516 330725461
0 -146749605 -34840286
4 314270358 -190172398
1 -627122623 99645175
9 -801517543 -323878445
6 -708823656 974983749
1 -602903449 -806235667
3 -767745476 -50931955
0 102056922 871124374
4 895831929 -307553946
5 -735233945 -814309167
0 753840301 -211952635
4 138892073 801149539
8 960191939 399718775
5 -124845960 -230644326
4 431909377 410458955
3 -628458614 631599910
0 358867509 274042803
9 908159701 937710376
2 376941711 857092614
3 -891621298 -60754115
5 -950725438 563935126
8 694814159 758400939
67 10000
6 579627496 777518128
7 51 42
7 46 49
5 55 16
7 57 50
8 -349437077 -621351635
1 46 63
7 64 49
4 -980548484 834404244
4 127608583 -578491341
3 58 3
3 63 5
3 63 39
2 51 36
8 621028230 811068717
0 8 53
8 60 43
8 1 53
5 -209338931 -354891650
5 8 64
3 62 24
2 976187537 -109603798
2 -828077824 -928538363
3 57 8
1 106483291 896928984
5 16 54
6 572378639 -489154825
7 373262425 -239223685
8 31 65
4 -927586976 304284032
5 47 24
3 -141709223 171461935
7 125550045 -990869982
5 497116314 395994751
4 9 54
5 60 63
4 906755706 -759712924
3 948976423 148638193
1 -651638148 -901698660
6 46 1
8 -224247434 -54895502
6 -871180262 496741193
0 10 51
3 57 39
3 -101990106 539260703
1 48 21
3 916304472 375487573
2 827966169 -95830431
7 -891278236 -462898497
5 687477754 -138364460
2 463634066 606068876
1 -53600348 -8515536
5 -786227479 320926185
0 3 64
4 40505744 953877608
9 30 54
4 226036681 -136648377
0 13 34
0 956283224 -840974311
2 62 17
9 572191564 -173021033
4 293371842 628219825
3 63 33
8 15164973 14059815
8 -950126871 394680377
6 -123184578 476670
9 77758346 43402198
2 -204518473 -191863097
4 -958368546 -792536010
9 -822481843 499430905
8 154661061 -165017912
6 491013539 153112792
2 58 18
0 57 30
0 63 38
7 -566626941 -540830921
3 47 66
8 29921639 -53466219
2 566833512 327322037
3 51 66
0 60 62
9 708843560 -595511344
0 2 52
9 722071011 560777890
0 172272790 -567004091
0 25 54
2 -956056169 516748332
1 839286063 378553857
2 111645457 -588797321
7 -117332983 -163184034
6 -971482328 190531491
5 -202272763 941651691
8 -443981093 904785226
3 -651600938 -710588281
0 885161142 6326580
5 -846377933 -899660896
0 24 58
5 377041730 -369678380
9 -882240187 -393233442
8 80962639 -960728206
4 -112111098 35058568
3 -145579124 -479303968
0 -832980376 -994851543
3 362143707 -567603881
5 -970130406 303065829
8 519730515 728768354
5 466863326 -439506208
5 -553109382 -224059364
9 -37782339 715865131
7 19 45
2 514743207 17392837
2 791558703 518476952
8 587533332 -651121305
0 -98542203 214696412
1 18 63
4 -989286938 5367703
8 550414884 283163570
7 16510649 780444320
2 29 49
1 65 11
6 -452094915 637666699
9 -288711396 334880872
6 -501815811 877625109
4 4 54
1 44 36
0 171885750 -77171112
0 60 37
0 -925375295 318369212
0 61 12
4 -607420915 -174919486
4 126607560 -312895002
8 -990071171 823349611
8 425801555 -64793322
0 -185742149 838097814
6 42192646 -53711330
6 -604287674 -312035250
4 36 45
4 48 9
5 14 66
5 -355557682 -573327990
8 -249137581 -619797813
4 44 43
3 -294842086 -376724338
0 27 27
6 -808425292 376916281
5 473350628 611159309
3 192537046 -7302127
1 834339239 -434665520
7 542926924 507211708
2 107942890 210298467
9 -22240911 -868020562
2 12 56
9 787703472 914468770
8 292106330 48908779
1 46 32
6 170188751 -918172867
4 218286156 595999739
8 -324926565 -35891520
9 166324347 980308655
0 19 12
5 985987183 728471278
4 964415167 -839812538
4 -384526755 964087107
0 617863195 560662917
7 -857857838 -510470250
2 39 57
4 3 66
7 217555684 -79992341
9 296676287 567984448
8 456584209 -802193575
0 61 0
2 -166784904 -308684386
0 14 64
8 630464520 -666547803
4 -598840308 360587927
4 944045851 329242964
5 558969283 951746050
0 706522992 -940079085
2 -628130978 754981010
0 -914229977 307912332
5 47991960 -975509650
1 -715611860 -515066231
9 -532572391 -415646457
8 929950716 -724197335
0 -859977994 -188879393
7 69404196 598922787
1 -648529911 710845791
8 -441429078 423190523
3 834829896 851139109
2 217538652 455871040
1 -247828115 885583947
9 682668464 98451395
0 -164013198 811074887
1 -26366968 595027242
5 -953493954 514956073
1 -219410964 -136125519
2 -600764281 -274240538
8 910447416 962801902
5 -779972162 281403853
1 371137831 -764136769
3 -998502059 -908230804
5 -338107463 -781666069
8 133185611 980339166
8 -770357134 -768608191
3 -6047306 644975639
3 -70734929 786322654
0 -492570906 486672034
6 806690543 -99512701
1 8 60
8 854208184 511279128
6 713203487 8515606
4 885371915 -57712456
9 -146568265 252010292
8 328994654 100036493
9 -491584287 -65246347
5 964634089 486229271
0 56 0
4 24222205 -773283664
8 -152501716 241614428
5 -459349403 702927723
7 -958412757 -109455650
0 24 66
0 196648444 699105620
4 23759823 -36363206
5 401974493 -851020914
2 -891100657 70122342
0 173077419 457374788
3 -363035482 -182150271
0 96333629 -342553309
0 -810864836 -133019848
4 203384018 917977386
9 -906791605 295570210
3 441637333 711837646
9 686318016 516286577
4 -966335504 486306125
1 -510673378 654477854
6 994429206 658024193
4 -121372966 -743357047
0 54 61
8 815764037 -379385400
1 535762296 -255451868
5 -627023390 -98919706
6 581295950 -91199694
9 -965273752 599963149
7 639997567 246641999
6 -47632392 -362991176
6 570688419 205119804
